Hw 2 - Least Square Fit - Errors:
n=3, max=8.07276689748, avg=1.3485005935, rms=2.29564594245
n=4, max=6.71683358594, avg=1.24568199737, rms=1.89713540325
n=5, max=5.66910033978, avg=1.23994752098, rms=1.75263260068
n=6, max=4.24798668608, avg=0.791310985205, rms=1.28680467039
n=7, max=4.10991304348, avg=0.768578776864, rms=1.24741256756
n=8, max=4.19860869566, avg=0.673077417333, rms=1.23511373557
n=9, max=3.59101020917, avg=0.690124119756, rms=1.14326250003
n=10, max=2.7703711448, avg=0.676969890755, rms=1.00141967502
n=11, max=2.12953066941, avg=0.544946378179, rms=0.733533390799
n=12, max=1.2607871318, avg=0.357016252453, rms=0.49718870045
n=13, max=0.734675257885, avg=0.212760300552, rms=0.284199199256
n=14, max=0.334734082352, avg=0.111701963376, rms=0.146477385222
n=15, max=0.14354127621, avg=0.0472225467755, rms=0.0629262897077
n=16, max=0.0513093582185, avg=0.0169683705742, rms=0.0230988687715
n=17, max=0.0138778419228, avg=0.00452122490364, rms=0.00654498334493
n=18, max=0.01872578386, avg=0.00600826059713, rms=0.00863383844145
n=19, max=0.00391589729606, avg=0.00110364920778, rms=0.00174479927218
